Rk,School,TG,SRS,FGA,TOV,OTRB,TRB%
272,South Carolina State,32,-11.75,1914,487,1075,52.8
273,South Carolina Upstate,30,-9.12,1753,346,1138,45.5
274,South Dakota,32,-12.23,1916,411,1102,52.1
275,South Dakota State,34,0.71,1976,380,1145,51.4
276,South Florida,31,7.38,1791,330,1142,49.4
277,Southeast Missouri State,31,-18,1848,371,1120,46.8
278,Southeastern Louisiana,32,-10.86,1769,442,1074,51
279,Southern,32,-8.66,1829,456,1064,48.9
280,Southern California,33,9.6,1932,418,1189,48.6
281,Southern Illinois,32,4.25,1746,356,1023,50.8
282,SIU Edwardsville,33,-8.81,1965,352,1150,50.5
283,Southern Indiana,32,-13.45,1811,423,1154,49.7
284,Southern Methodist,32,10.68,2024,362,1110,53.6
285,Southern Mississippi,32,-5.63,1826,411,1172,50.1
286,Southern Utah,31,-5.72,1861,373,1158,47.5
287,St. Bonaventure,33,7.05,1872,358,1060,50.6
288,St. John's (NY),33,16.28,2139,360,1106,53.6
289,St. Thomas,33,-0.63,1824,303,1025,50
290,Stanford,32,7.64,1886,410,1140,49
291,Stephen F. Austin,33,-0.94,1890,530,1085,52.2
292,Stetson,34,-4.51,1998,355,1169,50.4
293,Stonehill,31,-20.02,1788,421,1210,45.7
294,Stony Brook,35,-2.44,2101,359,1299,49.6
295,Syracuse,32,8.31,1915,364,1203,46.9
296,Tarleton State,32,0.78,1901,366,1115,49.2
297,TCU,33,15.66,2022,424,1073,53.2
298,Temple,36,-1,2214,357,1400,48.2
299,Tennessee,32,21.79,1976,329,1127,52.4
300,Tennessee State,33,-9.41,1881,436,1173,49.4
301,Tennessee Tech,31,-14.79,1692,369,1113,46.2
302,Tennessee-Martin,32,-5.34,2045,366,1220,51.9
303,Texas,32,16.04,1878,364,1074,50.7
304,Texas A&M,34,13.04,2158,327,1149,55.8
305,Texas A&M-Commerce,33,-14.02,1996,385,1281,45.6
306,Texas A&M-Corpus Christi,32,-3.67,1980,390,1071,54.5
307,Texas Southern,32,-9.08,1916,405,1161,49.4
308,Texas State,35,-3.4,1988,470,1182,51.3
