Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,AdjORtg,AdjDRtg,AdjNRtg
111,Georgia Tech,ACC,,14,18,71,75.2,-4.22,,8.77,,3.16,1.38,4.55,108.69,102.41,6.28
112,Charlotte,AAC,,19,12,68.7,65.6,3.13,,2.7,,-3.3,7.67,4.37,108.41,101.83,6.58
113,Southern Illinois,MVC,,19,13,72.7,68.2,4.44,,0.67,,-0.26,4.5,4.25,109.23,102.8,6.43
114,West Virginia,Big 12,,9,23,69.8,76.8,-7.03,,11.27,,3.75,0.49,4.24,109.55,103.41,6.14
115,College of Charleston,CAA,,27,7,80.5,72.5,7.94,,-2.87,,6.88,-2.69,4.19,111.38,105.2,6.18
116,Northern Iowa,MVC,,19,14,73.2,71.1,2.15,,2.99,,1.33,2.63,3.96,108.67,103.11,5.56
117,Tulane,AAC,,14,17,81.9,80,1.9,,2.99,,10.74,-6.78,3.96,110.96,105.59,5.37
118,Davidson,A-10,,15,17,70.1,67.9,2.13,,3.5,,-1.38,5.22,3.83,106.04,100.08,5.96
119,Cornell,Ivy,,22,7,82.1,74.2,7.83,,-1.93,,7.96,-4.34,3.62,111.21,106.41,4.8
120,Oregon State,Pac-12,,13,19,68.9,72.7,-3.81,,8.63,,0.02,3.51,3.54,107.07,103.09,3.98
121,Missouri,SEC,,8,24,72.2,76.2,-4.03,,7.53,,1.67,1.83,3.5,108.94,104.12,4.82
122,Seattle,WAC,,19,14,73.6,67.4,6.21,,-1.34,,-0.22,3.56,3.35,104.77,99.52,5.24
123,Akron,MAC,,24,10,74,65.9,8.18,,-2.52,,-1.99,5.01,3.01,105.86,101.4,4.46
124,Belmont,MVC,,20,13,77.9,75.5,2.33,,1.58,,5.49,-2.57,2.92,108.46,104.3,4.16
125,Vermont,AEC,,28,6,72.3,63,9.35,,-3.9,,-4.86,7.77,2.91,105.59,100.78,4.81
126,UC San Diego,Big West,,21,11,76.7,69.2,7.56,,-2.27,,1.42,1.37,2.8,109.83,105.88,3.95
127,Hofstra,CAA,,20,13,74.2,68.5,5.76,,-1.84,,-0.98,3.42,2.44,106.66,102.69,3.97
128,UT Arlington,WAC,,20,14,76.9,73.3,3.59,,0.71,,4.51,-2.12,2.39,107.63,103.83,3.8
129,Wichita State,AAC,,15,19,72.8,73.1,-0.26,,3.5,,0.14,2.18,2.32,104.28,100.87,3.4
130,High Point,Big South,,25,8,84.2,74.2,10,,-5.09,,7.69,-5.46,2.23,113.29,109.76,3.54
131,Western Carolina,Southern,,22,10,76.8,68.7,8.16,,-3.17,,0.48,1.66,2.14,106.71,103.46,3.25
132,Toledo,MAC,,20,12,80,76.1,3.88,,-1.88,,6.45,-4.45,2,111.49,108.59,2.9
133,Liberty,CUSA,,18,14,73.8,65.5,8.31,,-1.36,,-0.93,2.71,1.78,109.39,106.15,3.24
134,Oakland,Horizon,,23,11,76.4,72.9,3.5,,-1.9,,1.29,0.31,1.6,107.63,105.42,2.21
135,Troy,Sun Belt,,20,12,79.6,70.7,8.91,,-2.92,,3.09,-1.6,1.5,105.06,102.87,2.18
136,UNC Wilmington,CAA,,21,10,79.4,71,8.35,,-2.67,,2.2,-0.77,1.44,110.97,108.25,2.72
137,Western Kentucky,CUSA,,22,11,80.6,74.1,6.52,,-3.4,,6.1,-4.67,1.43,103.37,101.71,1.66
138,Drexel,CAA,,20,12,73.3,66.6,6.75,,-3.42,,-2.66,4.02,1.35,105.55,102.86,2.69
139,Youngstown State,Horizon,,22,10,81.2,70.9,10.28,,-4.87,,2.11,-0.91,1.2,105.26,103.77,1.49
140,Missouri State,MVC,,17,16,71.2,71.3,-0.03,,1.15,,-0.37,1.49,1.12,103.25,101.9,1.36
